,Station Name,Air Temperature
50271,Oak Street Weather Station,20.1
50272,Foster Weather Station,18.5
50273,63rd Street Weather Station,23.9
50274,Oak Street Weather Station,21.7
50275,Foster Weather Station,20.28
50276,63rd Street Weather Station,23.7
50277,Oak Street Weather Station,24.2
50278,Foster Weather Station,22.28
50279,63rd Street Weather Station,23.8
50280,Oak Street Weather Station,24.1
50281,Foster Weather Station,22.28
50282,63rd Street Weather Station,23.8
50283,Oak Street Weather Station,24.0
50284,Foster Weather Station,22.5
50285,63rd Street Weather Station,24.3
50286,Oak Street Weather Station,24.4
50287,Foster Weather Station,23.39
50288,63rd Street Weather Station,24.5
50289,Oak Street Weather Station,25.2
50290,Foster Weather Station,23.78
50291,63rd Street Weather Station,24.6
50292,Oak Street Weather Station,25.2
50293,Foster Weather Station,24.06
50294,63rd Street Weather Station,25.1
50295,Oak Street Weather Station,25.9
50296,Foster Weather Station,24.28
50297,63rd Street Weather Station,25.8
50298,Oak Street Weather Station,26.7
50299,Foster Weather Station,26.28
50300,63rd Street Weather Station,27.0
50301,Oak Street Weather Station,27.4
50302,63rd Street Weather Station,26.9
50303,Oak Street Weather Station,27.2
50304,Foster Weather Station,27.0
50305,63rd Street Weather Station,27.2
50306,Oak Street Weather Station,27.4
50307,Foster Weather Station,27.39
50308,63rd Street Weather Station,27.8
50309,Oak Street Weather Station,27.9
50310,Foster Weather Station,27.0
50311,63rd Street Weather Station,26.2
50312,Oak Street Weather Station,26.8
50313,Foster Weather Station,27.17
50314,63rd Street Weather Station,26.2
50315,Oak Street Weather Station,26.4
50316,Foster Weather Station,24.56
50317,63rd Street Weather Station,25.9
50318,Oak Street Weather Station,26.0
50319,Foster Weather Station,24.78
50320,63rd Street Weather Station,23.3
50321,Oak Street Weather Station,23.4
50322,Foster Weather Station,22.39
50323,63rd Street Weather Station,21.5
50324,Oak Street Weather Station,21.8
50325,Foster Weather Station,20.67
50326,63rd Street Weather Station,21.8
50327,Oak Street Weather Station,22.1
50328,Foster Weather Station,20.56
50329,63rd Street Weather Station,21.2
50330,Oak Street Weather Station,20.6
50331,Foster Weather Station,20.5
50332,63rd Street Weather Station,20.8
50333,Oak Street Weather Station,21.0
50334,Foster Weather Station,20.67
50335,63rd Street Weather Station,20.8
50336,Oak Street Weather Station,21.6
50337,Foster Weather Station,20.5
50338,63rd Street Weather Station,20.7
50339,Oak Street Weather Station,21.1
50340,Foster Weather Station,20.06
50341,63rd Street Weather Station,20.2
50342,Oak Street Weather Station,21.6
50343,Foster Weather Station,19.89
